keystone_run_id,keystone_team_id,completed_at,season,mythic_level,keystone_time_ms,faction,dungeon_name,dungeon_short_name,dungeon_slug,dungeon_patch,modifier_1,modifier_2,modifier_3,tank_name,tank_race,tank_race_id,tank_class,tank_class_id,tank_spec,tank_spec_id,tank_ilvl,healer_name,healer_race,healer_race_id,healer_class,healer_class_id,healer_spec,healer_spec_id,healer_ilvl,dps_1_name,dps_1_race,dps_1_race_id,dps_1_class,dps_1_class_id,dps_1_spec,dps_1_spec_id,dps_1_ilvl,dps_2_name,dps_2_race,dps_2_race_id,dps_2_class,dps_2_class_id,dps_2_spec,dps_2_spec_id,dps_2_ilvl,dps_3_name,dps_3_race,dps_3_race_id,dps_3_class,dps_3_class_id,dps_3_spec,dps_3_spec_id,dps_3_ilvl,clear_time_ms
1991609,391504039,2026-03-27 12:48:44+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Суньхуньвынь,Dwarf,3,Monk,10,Brewmaster,268,268.0,Ladapiora,Night Elf,4,Druid,11,Restoration,105,264.0,Бронебос,Goblin,9,Shaman,7,Enhancement,263,267.0,Animatronic,Orc,2,Death Knight,6,Unholy,252,267.0,Лэйтморн,Dwarf,3.0,Warrior,1.0,Fury,72.0,268.0,1699240
2089419,391532157,2026-03-27 19:14:50+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Rampire,Night Elf,4,Demon Hunter,12,Vengeance,581,269.25,Jinx,Night Elf,4,Priest,5,Discipline,256,270.125,Puuki,Pandaren,25,Mage,8,Frost,64,269.688,Qldurtms,Night Elf,4,Death Knight,6,Unholy,252,270.125,Speedywl,Orc,2.0,Warlock,9.0,Demonology,266.0,269.188,1604903
2167348,391605664,2026-03-27 20:55:39+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Heálu,Night Elf,4,Monk,10,Brewmaster,268,270.625,Dangersh,Dwarf,3,Shaman,7,Restoration,264,270.938,Mileugros-53063865,Blood Elf,10,Demon Hunter,12,Havoc,577,268.75,Shtreangow,Dwarf,3,Warrior,1,Fury,72,272.375,Seatbelton,Dracthyr,70.0,Evoker,13.0,Augmentation,1473.0,266.75,1595775
2171221,391645752,2026-03-27 21:02:45+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Kombat,Dwarf,3,Monk,10,Brewmaster,268,265.938,Ryqim,Night Elf,4,Monk,10,Mistweaver,270,266.312,Ñøæ,Night Elf,4,Demon Hunter,12,Devourer,1480,268.312,Yükí,Night Elf,4,Warrior,1,Fury,72,267.688,Undercoviira,Orc,2.0,Hunter,3.0,Marksmanship,254.0,271.188,1673008
2277329,391618546,2026-03-27 23:37:33+00:00,season-mn-1,16,1800999,alliance,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Wobenmonk,Night Elf,4,Monk,10,Brewmaster,268,264.812,Kireya,Night Elf,4,Druid,11,Restoration,105,264.0,Haxert,Dwarf,3,Shaman,7,Elemental,262,267.312,Humraii,Night Elf,4,Demon Hunter,12,Devourer,1480,269.938,Nhaji,Night Elf,4.0,Priest,5.0,Shadow,258.0,268.25,1626238
2591789,391978523,2026-03-28 10:31:13+00:00,season-mn-1,16,1800999,alliance,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Arrigosbrew,Dwarf,3,Monk,10,Brewmaster,268,267.438,Wounderz,Dwarf,3,Shaman,7,Restoration,264,268.375,Skîllance,Void Elf,29,Demon Hunter,12,Devourer,1480,267.438,Thundershøck,Dwarf,3,Shaman,7,Elemental,262,271.562,Bullrag,Night Elf,4.0,Warrior,1.0,Fury,72.0,268.438,1686375
2725290,392112273,2026-03-28 10:58:06+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Steacrack-102040823,Zandalari Troll,31,Monk,10,Brewmaster,268,268.0,Peeli,Dwarf,3,Shaman,7,Restoration,264,266.0,Hazardh,Night Elf,4,Demon Hunter,12,Devourer,1480,267.0,Gucciwarrior,Night Elf,4,Warrior,1,Fury,72,269.0,Vytusz,Dwarf,3.0,Warlock,9.0,Demonology,266.0,223.0,1606070
2604624,391978617,2026-03-28 11:00:55+00:00,season-mn-1,16,1800999,alliance,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Cps,Dwarf,3,Warrior,1,Protection,73,261.062,Roams,Haranir,86,Shaman,7,Restoration,264,268.375,Galiro,Night Elf,4,Druid,11,Feral,103,271.875,Onlydecent,Night Elf,4,Monk,10,Windwalker,269,270.312,Mawgun,Dwarf,3.0,Hunter,3.0,Survival,255.0,270.125,1704758
2996831,392344237,2026-03-28 13:33:31+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Snøwgigachad,Void Elf,29,Warrior,1,Protection,73,266.0,Conola,Dracthyr,70,Evoker,13,Preservation,1468,270.0,Bodenaggro,Dwarf,3,Paladin,2,Retribution,70,269.0,Nëros,Night Elf,4,Demon Hunter,12,Devourer,1480,271.0,Botlîke,Dwarf,3.0,Mage,8.0,Frost,64.0,269.0,1605853
2734887,392120613,2026-03-28 15:17:23+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Asuppercut,Dwarf,3,Monk,10,Brewmaster,268,268.062,Morgensternx,Dwarf,3,Paladin,2,Holy,65,267.062,Kiskóla,Troll,8,Mage,8,Frost,64,265.062,Transpaleta,Night Elf,4,Demon Hunter,12,Devourer,1480,269.562,Aidenx,Dwarf,3.0,Death Knight,6.0,Unholy,252.0,269.688,1654240
